city	scope1	dataset	year	country	region	s1PerCap	protocol
Liaoyang	584207.552929	PKU	2010	China	East Asia	0.562260826104	6
Lima	12378734	CDP	2012	Peru	Latin America & Caribbean	1.20399453297579	1
Linyi	5723315.622	PKU	2010	China	East Asia	1.2654	6
Lisbon	1023910	CDP	2014	Portugal	Europe	1.87788975598126	5
Liuzhou	1053120.72358	PKU	2010	China	East Asia	0.486007416917	6
Ljubljana	1829808	CDP	2014	Slovenia	Europe	6.0797978136721	1
London, ON	2771000	CDP	2014	Canada	North America	5.57326386221999	4
Los Altos Hills	47552	CDP	2015	USA	North America	5.5936948594283	2
Los Angeles	19595119	CDP	2013	USA	North America	4.18977592681866	1
Luoyang	2534080.92912	PKU	2010	China	East Asia	0.877344	6
Lyon	7191700	carbonn	2010	France	Europe	5.30958097448755	1
Madrid	6795577	CDP	2013	Spain	Europe	1.74520451196481	1
Makati	462586	CDP	2011	Philippines	Southeast Asia	0.589377194683802	1
Malang	775422	carbonn	2017	Indonesia	Southeast Asia	0.873771047830678	1
Manchester	9587290	CDP	2013	United Kingdom	Europe	3.12342986182156	1
Melbourne	785326	CDP	2015	Australia	Oceania	4.83079562537426	1
Mexico City	16842493.45	CDP	2014	Mexico	Latin America & Caribbean	1.54443953370014	1
Milano	3728678	CDP	2013	Italy	Europe	2.7619837037037	5
Minneapolis	2890572	CDP	2014	USA	North America	6.25249575387983	2
Moita	49910	CDP	2013	Portugal	Europe	0.755879992124673	1
Montreal	13634331	CDP	2009	Canada	North America	6.13347171053487	3
Msunduzi	1289214	carbonn	2015	South Africa	Africa	2.08429905454169	1
Mudanjiang	744132.012381	PKU	2010	China	East Asia	0.462093915341	6
Naga	243527	carbonn	2014	Philippines	Southeast Asia	2.10390496760259	1
Nagoya	7690000	CDP	2013	Japan	East Asia	3.39397903535831	5
Nagpur	1534552.31	carbonn	2007	India	South Asia	0.614344345382266	1
Nanchang	2484926.25	PKU	2010	China	East Asia	0.75	6
Nanjing, Jiangsu	9689288.42149	PKU	2010	China	East Asia	1.55322211	6
Nanning	3640328.08198	PKU	2010	China	East Asia	1.01732512932	6
Nantes	2076210	carbonn	2003	France	Europe	3.38817067080952	1
Nashville and Davidson	6680194	CDP	2014	USA	North America	9.34753783312614	1
Nelson Mandela	4986052	carbonn	2012	South Africa	Africa	4.32773811642067	1
New Orleans	2419891	CDP	2014	USA	North America	5.43764661148045	1
New Taipei	6149934	CDP	2014	Taiwan	East Asia	1.15892634832647	1
New York City	38962264	CDP	2015	USA	North America	3.81647801124523	1
Ningbo	6563188.42724	PKU	2010	China	East Asia	1.26332700063	6
North Vancouver	182896	CDP	2015	Canada	North America	1.77256544251696	5
Oakland	956414	CDP	2015	USA	North America	1.53184526685301	5
Okayama	114000	CDP	2013	Japan	East Asia	0.084039322468362	5
Osaka	50040000	carbonn	2009	Japan	East Asia	5.64516165423543	1
Oslo	1094422	CDP	2013	Norway	Europe	1.0930563481569	1
Palmas	589055.31	CDP	2013	Brazil	Latin America & Caribbean	1.76264272238308	1
Palo Alto	152631	CDP	2015	USA	North America	1.53093653294711	2
Paris	3359242	CDP	2014	France	Europe	1.07257499935627	1
Pasig	659168	carbonn	2010	Philippines	Southeast Asia	0.872723421157156	1
Philadelphia	12397594.06	CDP	2012	USA	North America	7.16379236974412	4
Phuket	480265	carbonn	2013	Thailand	Southeast Asia	6.35498127638178	1
Piedmont, CA	17876	CDP	2011	USA	North America	0.845303642765683	1
Pimpri-Chinchwad	3185501	carbonn	2012	India	South Asia	1.84205410219046	1
Pingdingshan	929863.268202	PKU	2010	China	East Asia	0.459777528012	6
Pingtung	2768427.4	CDP	2013	Taiwan	East Asia	2.91131774279679	1
Pittsburgh	2073556	CDP	2013	USA	North America	6.07712522762445	2
Portland, OR	4610317	CDP	2014	USA	North America	6.48201009130552	2
Pretoria Tshwane	4648959	CDP	2015	South Africa	Africa	1.0861114649	4
